_Polyline
-2.500000,-2.500000,7.685919
-2.500000,-2.415254,7.634912
-2.500000,-2.330508,7.583905
-2.500000,-2.245763,7.532897
-2.500000,-2.161017,7.481890
-2.500000,-2.076271,7.430883
-2.500000,-1.991525,7.379875
-2.500000,-1.906780,7.328868
-2.500000,-1.822034,7.277861
-2.500000,-1.737288,7.226853
-2.500000,-1.652542,7.175846
-2.500000,-1.567797,7.124839
-2.500000,-1.483051,7.073832
-2.500000,-1.398305,7.022824
-2.500000,-1.313559,6.971817
-2.500000,-1.228814,6.920810
-2.500000,-1.144068,6.869802
-2.500000,-1.059322,6.818795
-2.500000,-0.974576,6.767788
-2.500000,-0.889831,6.716780
-2.500000,-0.805085,6.665773
-2.500000,-0.720339,6.614766
-2.500000,-0.635593,6.563758
-2.500000,-0.550847,6.512751
-2.500000,-0.466102,6.461744
-2.500000,-0.381356,6.410737
-2.500000,-0.296610,6.359729
-2.500000,-0.211864,6.308722
-2.500000,-0.127119,6.257715
-2.500000,-0.042373,6.207379
-2.500000,0.042373,6.161977
-2.500000,0.127119,6.116575
-2.500000,0.211864,6.071173
-2.500000,0.296610,6.025771
-2.500000,0.381356,5.980369
-2.500000,0.466102,5.934967
-2.500000,0.550847,5.889565
-2.500000,0.635593,5.844163
-2.500000,0.720339,5.798761
-2.500000,0.805085,5.753359
-2.500000,0.889831,5.715670
-2.500000,0.974576,5.679402
-2.500000,1.059322,5.643135
-2.500000,1.144068,5.606867
-2.500000,1.228814,5.570600
-2.500000,1.313559,5.534332
-2.500000,1.398305,5.498065
-2.500000,1.483051,5.464779
-2.500000,1.567797,5.441188
-2.500000,1.652542,5.417597
-2.500000,1.737288,5.394006
-2.500000,1.822034,5.370415
-2.500000,1.906780,5.346824
-2.500000,1.991525,5.323233
-2.500000,2.076271,5.311006
-2.500000,2.161017,5.302800
-2.500000,2.245763,5.294595
-2.500000,2.330508,5.286390
-2.500000,2.415254,5.278184
-2.500000,2.500000,5.269985
_Enter
_Polyline
-2.415254,-2.500000,7.634912
-2.415254,-2.415254,7.583905
-2.415254,-2.330508,7.532897
-2.415254,-2.245763,7.481890
-2.415254,-2.161017,7.430883
-2.415254,-2.076271,7.379875
-2.415254,-1.991525,7.328868
-2.415254,-1.906780,7.277861
-2.415254,-1.822034,7.226853
-2.415254,-1.737288,7.175846
-2.415254,-1.652542,7.124839
-2.415254,-1.567797,7.073832
-2.415254,-1.483051,7.022824
-2.415254,-1.398305,6.971817
-2.415254,-1.313559,6.920810
-2.415254,-1.228814,6.869802
-2.415254,-1.144068,6.818795
-2.415254,-1.059322,6.767788
-2.415254,-0.974576,6.716780
-2.415254,-0.889831,6.665773
-2.415254,-0.805085,6.614766
-2.415254,-0.720339,6.563758
-2.415254,-0.635593,6.512751
-2.415254,-0.550847,6.461744
-2.415254,-0.466102,6.410737
-2.415254,-0.381356,6.359729
-2.415254,-0.296610,6.308722
-2.415254,-0.211864,6.257715
-2.415254,-0.127119,6.207379
-2.415254,-0.042373,6.161977
-2.415254,0.042373,6.116575
-2.415254,0.127119,6.071173
-2.415254,0.211864,6.025771
-2.415254,0.296610,5.980369
-2.415254,0.381356,5.934967
-2.415254,0.466102,5.889565
-2.415254,0.550847,5.844163
-2.415254,0.635593,5.798761
-2.415254,0.720339,5.753359
-2.415254,0.805085,5.715670
-2.415254,0.889831,5.679402
-2.415254,0.974576,5.643135
-2.415254,1.059322,5.606867
-2.415254,1.144068,5.570600
-2.415254,1.228814,5.534332
-2.415254,1.313559,5.498065
-2.415254,1.398305,5.464779
-2.415254,1.483051,5.441188
-2.415254,1.567797,5.417597
-2.415254,1.652542,5.394006
-2.415254,1.737288,5.370415
-2.415254,1.822034,5.346824
-2.415254,1.906780,5.323233
-2.415254,1.991525,5.311006
-2.415254,2.076271,5.302800
-2.415254,2.161017,5.294595
-2.415254,2.245763,5.286390
-2.415254,2.330508,5.278184
-2.415254,2.415254,5.269985
-2.415254,2.500000,5.278190
_Enter
_Polyline
-2.330508,-2.500000,7.583905
-2.330508,-2.415254,7.532897
-2.330508,-2.330508,7.481890
-2.330508,-2.245763,7.430883
-2.330508,-2.161017,7.379875
-2.330508,-2.076271,7.328868
-2.330508,-1.991525,7.277861
-2.330508,-1.906780,7.226853
-2.330508,-1.822034,7.175846
-2.330508,-1.737288,7.124839
-2.330508,-1.652542,7.073832
-2.330508,-1.567797,7.022824
-2.330508,-1.483051,6.971817
-2.330508,-1.398305,6.920810
-2.330508,-1.313559,6.869802
-2.330508,-1.228814,6.818795
-2.330508,-1.144068,6.767788
-2.330508,-1.059322,6.716780
-2.330508,-0.974576,6.665773
-2.330508,-0.889831,6.614766
-2.330508,-0.805085,6.563758
-2.330508,-0.720339,6.512751
-2.330508,-0.635593,6.461744
-2.330508,-0.550847,6.410737
-2.330508,-0.466102,6.359729
-2.330508,-0.381356,6.308722
-2.330508,-0.296610,6.257715
-2.330508,-0.211864,6.207379
-2.330508,-0.127119,6.161977
-2.330508,-0.042373,6.116575
-2.330508,0.042373,6.071173
-2.330508,0.127119,6.025771
-2.330508,0.211864,5.980369
-2.330508,0.296610,5.934967
-2.330508,0.381356,5.889565
-2.330508,0.466102,5.844163
-2.330508,0.550847,5.798761
-2.330508,0.635593,5.753359
-2.330508,0.720339,5.715670
-2.330508,0.805085,5.679402
-2.330508,0.889831,5.643135
-2.330508,0.974576,5.606867
-2.330508,1.059322,5.570600
-2.330508,1.144068,5.534332
-2.330508,1.228814,5.498065
-2.330508,1.313559,5.464779
-2.330508,1.398305,5.441188
-2.330508,1.483051,5.417597
-2.330508,1.567797,5.394006
-2.330508,1.652542,5.370415
-2.330508,1.737288,5.346824
-2.330508,1.822034,5.323233
-2.330508,1.906780,5.311006
-2.330508,1.991525,5.302800
-2.330508,2.076271,5.294595
-2.330508,2.161017,5.286390
-2.330508,2.245763,5.278184
-2.330508,2.330508,5.269985
-2.330508,2.415254,5.278190
-2.330508,2.500000,5.286396
_Enter
_Polyline
-2.245763,-2.500000,7.532897
-2.245763,-2.415254,7.481890
-2.245763,-2.330508,7.430883
-2.245763,-2.245763,7.379875
-2.245763,-2.161017,7.328868
-2.245763,-2.076271,7.277861
-2.245763,-1.991525,7.226853
-2.245763,-1.906780,7.175846
-2.245763,-1.822034,7.124839
-2.245763,-1.737288,7.073832
-2.245763,-1.652542,7.022824
-2.245763,-1.567797,6.971817
-2.245763,-1.483051,6.920810
-2.245763,-1.398305,6.869802
-2.245763,-1.313559,6.818795
-2.245763,-1.228814,6.767788
-2.245763,-1.144068,6.716780
-2.245763,-1.059322,6.665773
-2.245763,-0.974576,6.614766
-2.245763,-0.889831,6.563758
-2.245763,-0.805085,6.512751
-2.245763,-0.720339,6.461744
-2.245763,-0.635593,6.410737
-2.245763,-0.550847,6.359729
-2.245763,-0.466102,6.308722
-2.245763,-0.381356,6.257715
-2.245763,-0.296610,6.207379
-2.245763,-0.211864,6.161977
-2.245763,-0.127119,6.116575
-2.245763,-0.042373,6.071173
-2.245763,0.042373,6.025771
-2.245763,0.127119,5.980369
-2.245763,0.211864,5.934967
-2.245763,0.296610,5.889565
-2.245763,0.381356,5.844163
-2.245763,0.466102,5.798761
-2.245763,0.550847,5.753359
-2.245763,0.635593,5.715670
-2.245763,0.720339,5.679402
-2.245763,0.805085,5.643135
-2.245763,0.889831,5.606867
-2.245763,0.974576,5.570600
-2.245763,1.059322,5.534332
-2.245763,1.144068,5.498065
-2.245763,1.228814,5.464779
-2.245763,1.313559,5.441188
-2.245763,1.398305,5.417597
-2.245763,1.483051,5.394006
-2.245763,1.567797,5.370415
-2.245763,1.652542,5.346824
-2.245763,1.737288,5.323233
-2.245763,1.822034,5.311006
-2.245763,1.906780,5.302800
-2.245763,1.991525,5.294595
-2.245763,2.076271,5.286390
-2.245763,2.161017,5.278184
-2.245763,2.245763,5.269985
-2.245763,2.330508,5.278190
-2.245763,2.415254,5.286396
-2.245763,2.500000,5.294601
_Enter
_Polyline
-2.161017,-2.500000,7.481890
-2.161017,-2.415254,7.430883
-2.161017,-2.330508,7.379875
-2.161017,-2.245763,7.328868
-2.161017,-2.161017,7.277861
-2.161017,-2.076271,7.226853
-2.161017,-1.991525,7.175846
-2.161017,-1.906780,7.124839
-2.161017,-1.822034,7.073832
-2.161017,-1.737288,7.022824
-2.161017,-1.652542,6.971817
-2.161017,-1.567797,6.920810
-2.161017,-1.483051,6.869802
-2.161017,-1.398305,6.818795
-2.161017,-1.313559,6.767788
-2.161017,-1.228814,6.716780
-2.161017,-1.144068,6.665773
-2.161017,-1.059322,6.614766
-2.161017,-0.974576,6.563758
-2.161017,-0.889831,6.512751
-2.161017,-0.805085,6.461744
-2.161017,-0.720339,6.410737
-2.161017,-0.635593,6.359729
-2.161017,-0.550847,6.308722
-2.161017,-0.466102,6.257715
-2.161017,-0.381356,6.207379
-2.161017,-0.296610,6.161977
-2.161017,-0.211864,6.116575
-2.161017,-0.127119,6.071173
-2.161017,-0.042373,6.025771
-2.161017,0.042373,5.980369
-2.161017,0.127119,5.934967
-2.161017,0.211864,5.889565
-2.161017,0.296610,5.844163
-2.161017,0.381356,5.798761
-2.161017,0.466102,5.753359
-2.161017,0.550847,5.715670
-2.161017,0.635593,5.679402
-2.161017,0.720339,5.643135
-2.161017,0.805085,5.606867
-2.161017,0.889831,5.570600
-2.161017,0.974576,5.534332
-2.161017,1.059322,5.498065
-2.161017,1.144068,5.464779
-2.161017,1.228814,5.441188
-2.161017,1.313559,5.417597
-2.161017,1.398305,5.394006
-2.161017,1.483051,5.370415
-2.161017,1.567797,5.346824
-2.161017,1.652542,5.323233
-2.161017,1.737288,5.311006
-2.161017,1.822034,5.302800
-2.161017,1.906780,5.294595
-2.161017,1.991525,5.286390
-2.161017,2.076271,5.278184
-2.161017,2.161017,5.269985
-2.161017,2.245763,5.278190
-2.161017,2.330508,5.286396
-2.161017,2.415254,5.294601
-2.161017,2.500000,5.302806
_Enter
_Polyline
-2.076271,-2.500000,7.430883
-2.076271,-2.415254,7.379875
-2.076271,-2.330508,7.328868
-2.076271,-2.245763,7.277861
-2.076271,-2.161017,7.226853
-2.076271,-2.076271,7.175846
-2.076271,-1.991525,7.124839
-2.076271,-1.906780,7.073832
-2.076271,-1.822034,7.022824
-2.076271,-1.737288,6.971817
-2.076271,-1.652542,6.920810
-2.076271,-1.567797,6.869802
-2.076271,-1.483051,6.818795
-2.076271,-1.398305,6.767788
-2.076271,-1.313559,6.716780
-2.076271,-1.228814,6.665773
-2.076271,-1.144068,6.614766
-2.076271,-1.059322,6.563758
-2.076271,-0.974576,6.512751
-2.076271,-0.889831,6.461744
-2.076271,-0.805085,6.410737
-2.076271,-0.720339,6.359729
-2.076271,-0.635593,6.308722
-2.076271,-0.550847,6.257715
-2.076271,-0.466102,6.207379
-2.076271,-0.381356,6.161977
-2.076271,-0.296610,6.116575
-2.076271,-0.211864,6.071173
-2.076271,-0.127119,6.025771
-2.076271,-0.042373,5.980369
-2.076271,0.042373,5.934967
-2.076271,0.127119,5.889565
-2.076271,0.211864,5.844163
-2.076271,0.296610,5.798761
-2.076271,0.381356,5.753359
-2.076271,0.466102,5.715670
-2.076271,0.550847,5.679402
-2.076271,0.635593,5.643135
-2.076271,0.720339,5.606867
-2.076271,0.805085,5.570600
-2.076271,0.889831,5.534332
-2.076271,0.974576,5.498065
-2.076271,1.059322,5.464779
-2.076271,1.144068,5.441188
-2.076271,1.228814,5.417597
-2.076271,1.313559,5.394006
-2.076271,1.398305,5.370415
-2.076271,1.483051,5.346824
-2.076271,1.567797,5.323233
-2.076271,1.652542,5.311006
-2.076271,1.737288,5.302800
-2.076271,1.822034,5.294595
-2.076271,1.906780,5.286390
-2.076271,1.991525,5.278184
-2.076271,2.076271,5.269985
-2.076271,2.161017,5.278190
-2.076271,2.245763,5.286396
-2.076271,2.330508,5.294601
-2.076271,2.415254,5.302806
-2.076271,2.500000,5.311012
_Enter
_Polyline
-1.991525,-2.500000,7.379875
-1.991525,-2.415254,7.328868
-1.991525,-2.330508,7.277861
-1.991525,-2.245763,7.226853
-1.991525,-2.161017,7.175846
-1.991525,-2.076271,7.124839
-1.991525,-1.991525,7.073832
-1.991525,-1.906780,7.022824
-1.991525,-1.822034,6.971817
-1.991525,-1.737288,6.920810
-1.991525,-1.652542,6.869802
-1.991525,-1.567797,6.818795
-1.991525,-1.483051,6.767788
